Adolfo Alsina;17458;{#009e93, #78bd20, #ffb500, #f7931e, #f15a24, #658d1b};x;;x;http://www.adolfoalsina.gov.ar/;noticias en inicio: http://www.adolfoalsina.gov.ar/distrito/carhue/    http://www.adolfoalsina.gov.ar/distrito/gascon/    http://www.adolfoalsina.gov.ar/leubuco/       http://www.adolfoalsina.gov.ar/distrito/rivera/      http://www.adolfoalsina.gov.ar/san-miguel/      http://www.adolfoalsina.gov.ar/distrito/villa-maza/   ;;;https://www.instagram.com/municipalidadadolfoalsina/;https://rss.app/feeds/0BWeDpljHA2lrLxo.xml;https://www.youtube.com/channel/UCFFEio6oNlfIy0W9KPIrnSA;https://www.facebook.com/municipalidadadolfoalsina;David Hirtz;27 de agosto de 1949;x;Cambiemos;no;no;no;no;
Adolfo Gonzales Chaves;11944;{#344656, #e91e63, #00bcd4, #4caf50, #dd8c11, #cc26f2};x;;x;http://gonzaleschaves.gob.ar/;http://gonzaleschaves.gob.ar/category/prensa/;;;;;;https://www.facebook.com/municipiogonzaleschaves/;Eduardo Marcelo Santillán;;;FpV;@marce20152019;;https://www.facebook.com/eduardomarcelo.santillan?hc_ref=ARQ9-ghE3gZJkPZcV2xTEVIyBGQ5XNGYo8CFApdOGvSiAYNpQBzGGFQYrmHZKBvhZWQ&__tn__=lC-R;;
Alberti;10972;{#ff215c, #00bcd4, #312e6b, #4dff26, #8627f9, #e9ff00};x;x;;https://alberti.gov.ar/;http://alberti.gov.ar/noticias;;@MuniAlberti;https://www.instagram.com/municipalidaddealberti/;https://rss.app/feeds/r0WRZMtjaLQjtBB1.xml;https://www.youtube.com/user/municipalidadalberti/;https://www.facebook.com/MunicipalidaddeAlberti1/;Germán Lago;;;FpV;;;;;
Almirante Brown;594270;{#0078bf, #022a4e, #727272};x;;;http://www.almirantebrown.gov.ar/;http://www.almirantebrown.gov.ar/noticias;;@MunicipioBrown;;;https://www.youtube.com/user/MunicipioBrown;https://www.facebook.com/MunicipioBrown;Mariano Cascallares;;;FpV;;;;;
Arrecifes;31133;{#79216f};;;;https://arrecifes.gob.ar/;https://arrecifes.gob.ar/?q=noticias;;@Arrecifes_BA;;;https://www.youtube.com/channel/UCoA1Fgh6Y_FoHjEBeKFEr7g;https://www.facebook.com/municipalidadarrecifes/;Javier Olaeta;;;Cambiemos;;;;;
Avellaneda;355352;;;;;http://www.mda.gob.ar/;http://www.mda.gob.ar/noticias/;;@gestion_a;https://www.instagram.com/munideavellaneda/;https://rss.app/feeds/e0t6XMcNpSxVuMBC.xml;https://www.youtube.com/channel/UCIoz7EKbFsUoll1rZwOE8GA;https://www.facebook.com/municipalidad.avellaneda/;Jorge Horacio Ferraresi;;;FpV;;;;;
Ayacucho;21218;;;;;https://www.ayacucho.gob.ar/;https://www.ayacucho.gob.ar/?q=novedades;;@muniayacucho;;;https://www.youtube.com/channel/UC3fnp2q6sIGvnPXrOZXLHDg;https://www.facebook.com/Municipalidad-de-Ayacucho-204249029745982/;Pablo Zubiaurre;;;;;;;;
Azul;67495;;;;;https://www.azul.gob.ar/;https://www.azul.gob.ar/?q=novedades;;@ComunicAzul;;;https://www.youtube.com/user/municipalidaddeazul;https://www.facebook.com/municipiobb;Hernán Bertellys;;;Cambiemos;;;;;
Bahía Blanca;309544;;;;;https://www.bahia.gob.ar/;http://prensa.bahia.gob.ar/;;s @PrensaBahia @MunicipioBahia;https://www.instagram.com/municipiobahia/;https://rss.app/feeds/GoMYjx3TXVdizZRp.xml;https://www.youtube.com/channel/UCA0xLLytyWkHI_zjc9nR7XA;https://www.facebook.com/municipiodeazul;Héctor Gay;;;Cambiemos;;;;;
Balcarce;45551;;;;;https://www.balcarce.gob.ar/;https://www.balcarce.gob.ar/?q=novedades;http://balcarceinforma.blogspot.com.ar/feeds/posts/default;@prensa_balcarce;;;https://www.youtube.com/channel/UCRfm53jb4WYMyhdWoHUYK8A;https://www.facebook.com/Municipio-de-Balcarce-1675112112759124/;Esteban Reino;;;Cambiemos;;;;;
Baradero;36022;;;;;https://www.baradero.gob.ar/;https://www.baradero.gob.ar/?q=novedades;;@municipalidadba;https://www.instagram.com/municipiobaradero/;https://rss.app/feeds/52in1FuAddtqmMTR.xml;;https://www.facebook.com/MunicipalidaddeBaradero;Fernanda Antonijevic;;;Cambiemos;;;;;
Benito Juárez;20523;;;;;http://www.benitojuarez.gov.ar/;http://www.benitojuarez.gov.ar/?page_id=18;http://www.benitojuarez.gov.ar/?feed=rss2;@MunicipalidadBJ;;;https://www.youtube.com/channel/UCbOe3yOFRtd9rZ7gcTgLhOQ;https://www.facebook.com/Municipalidad-De-Benito-Ju%C3%A1rez-671525542976549/?eid=ARB5XFB2lYMKKlZ9alU-NG7qE5HgmmwUCoRSygj3LO3YqukkLMgY8w6LCOiQiM7y_DcopO9Qe3YadgWZ;Julio César MARINI;;;FpV;;;;;
Berazategui;362021;;;;;http://www.berazategui.gov.ar/;http://www.berazategui.gov.ar/noticias;http://www.berazategui.gov.ar/noticias?format=feed&type=rss;@MuniBerazategui;;;https://www.youtube.com/user/ElijoBerazategui;;Patricio Mussi;;;FpV;;https://www.instagram.com/jpatriciomussi/;;;
Berisso;95987;;;;;http://berisso.gob.ar/;http://berisso.gob.ar/noticias/;;@prensaberisso;https://www.instagram.com/prensa.berisso/;https://rss.app/feeds/6tYnIOOZQJjWNSP9.xml;https://www.youtube.com/user/prensaberisso?feature=watch;https://es-es.facebook.com/prensaberisso;Jorge Gabriel Nedela;;;Cambiemos;;;;;
Bolívar;35828;;;;;http://www.bolivar.gob.ar/;noticias en inicio;;@gobiernobolivar;https://www.instagram.com/gobiernobolivar/;https://rss.app/feeds/72E8tIYpdng26imH.xml;https://www.youtube.com/user/gobiernobolivar/;https://www.facebook.com/gobierno.bolivar/;Marcos Pisano;;;;@MarcosEPisano;https://www.instagram.com/marcos.pisano/;;;
Bragado;42103;;;;;http://www.bragado.gov.ar/web/inicio.php;http://www.bragado.gov.ar/web/prensa/saladeprensa.php;http://bragado.gov.ar/wordpress/feed/;@PrensaBragado;https://www.instagram.com/bragado_municipio/?hl=es;https://rss.app/feeds/JaISLDVUuzKgVUBx.xml;;https://www.facebook.com/municipalidad.debragado/;Vicente Gatica;;;Cambiemos;;;;;
Brandsen;30597;;;;;http://brandsen.gob.ar/;http://brandsen.gob.ar/?q=novedades;;@prensabrandsen;;;;https://www.facebook.com/prensamunicipalidadbrandsen;Oscar  Daniel Cappelletti;;;Cambiemos;;;;;
Campana;104566;;;;;http://www.campana.gov.ar/;http://www.campana.gov.ar/novedades/;http://www.campana.gov.ar/feed/;@campanagov;https://www.instagram.com/campanagov/;https://rss.app/feeds/56kBeciYFye6W37o.xml;https://www.youtube.com/channel/UCgoQfyf52pmp9O39JVaNAiQ;https://www.facebook.com/municipalidaddecampana/;Sebastián Abella;;;Cambiemos;;;;;
Cañuelas;61903;;;;;https://www.canuelas.gov.ar/;https://www.canuelas.gov.ar/index.php/prensa/noticias;;@MuniCanuelas;;;https://www.youtube.com/user/MuniCanuelasTV/featured;http://www.facebook.com/MunicipalidadDeCanuelas;Gustavo Arrieta;;;;;;;;
Capitán Sarmiento;16216;;;;;;;;;;;;https://www.facebook.com/municipalidadcapitansarmiento/;Oscar Darío Ostoich;;;FpV;;;;;
Carlos Casares;23583;;;;;https://www.casares.gob.ar/;https://www.casares.gob.ar/blog;;@PrensaCASARES;;;;;Walter Torchio;;;FpV;;;;;
Carlos Tejedor;11671;;;;;http://carlostejedor.gob.ar/;;http://carlostejedor.gob.ar/feed/;;;;;https://www.facebook.com/MunicipioCarlosTejedor/;Raúl Alejandro Sala;;;Cambiemos;;;;;
Carmen de Areco;15489;;;;;https://carmendeareco.gob.ar/;noticias en inicio;;;;;https://www.youtube.com/channel/UChxphSrD7AC5CNPssk1v9Gw;https://www.facebook.com/Municipalidad-de-Carmen-de-Areco-880176665357734/;Marcelo Skansi;;;NAC;;;;;
Castelli;8633;;;;;https://www.castelli.gob.ar/;https://www.castelli.gob.ar/categoria/general/;https://www.castelli.gob.ar/feed/;@CastelliCiudad;;;https://www.youtube.com/channel/UCuemWtBghfY7_RRG5GYFVDg;;Francisco José Echarren;;;FpV;;;;;
Chacabuco;52304;;;;;https://chacabuco.gob.ar/;https://chacabuco.gob.ar/portada/;https://chacabuco.gob.ar/feed/;;;;;;Victor Aiola;;;Cambiemos;@victoraiola;;;;
Chascomús;40100;;;;;http://municipio.chascomus.gob.ar/municipio;noticias en inicio;;;;;https://www.youtube.com/channel/UC6NUC802DqSvCx9Sm5PPLhw;;Javier Gastón;;;UNA;;;;;
Chivilcoy;68062;;;;;http://chivilcoy.gov.ar/;noticias en inicio;http://chivilcoy.gov.ar/?feed=rss2;@MuniChivilcoy;https://www.instagram.com/munichivilcoy/;https://rss.app/feeds/hv8FtSCiOhrb3COA.xml;https://www.youtube.com/channel/UCfgqW5GkI8c_dG1wbLEOqZw;;Jorge Franetovich;;;;;;;;
Colón;26889;;;;;http://www.municipalidaddecolon.com/;;;;;;;https://www.facebook.com/MunicipalidadColonBA/;Mariano Rebord ;;;;;;;;
Coronel Dorrego;63433;;;;;http://dorrego.gob.ar/mcd/;http://dorrego.gob.ar/mcd/index.php/todas-las-noticias;http://dorrego.gob.ar/mcd/index.php/todas-las-noticias?format=feed&type=rss;;;;;https://web.facebook.com/Municipalidad-Coronel-Dorrego-727149747391303/;Raúl Reyes;;;UCR-Cambiemos;;;;;
Coronel Pringles;15285;;;;;https://www.coronelpringles.gov.ar/;noticias en inicio;https://www.coronelpringles.gov.ar/index.php?format=feed&type=rss;@MunicipioCP;https://www.instagram.com/municipiocp/;https://rss.app/feeds/vbgRbr58lJZbt32j.xml;https://www.youtube.com/channel/UC06b8i9riQZ9-KdHlJGaeRg;https://www.facebook.com/MunicipiodeCoronelPringles;Carlos Aníbal Berterret;;;Cambiemos;;;;;
Coronel Rosales;22273;;;;;http://www.rosalesmunicipio.gob.ar/;noticias en inicio;http://www.rosalesmunicipio.gob.ar/feed/;;;;;https://www.facebook.com/RosalesMunicipio;Mariano Uset;;;Cambiemos;;;;;
Coronel Suárez;40162;;;;;http://www.coronelsuarez.gob.ar/;http://www.coronelsuarez.gob.ar/index.php/noticias/;http://www.coronelsuarez.gob.ar/index.php/feed/;@suarez_prensa;;;;https://web.facebook.com/Municipio-de-Coronel-Su%C3%A1rez-730044433779335/?_rdc=1&_rdr;Roberto Palacio;;;Cambiemos;;;;;
Daireaux;18093;;;;;http://www.daireaux.gob.ar/;noticias en inicio;http://www.daireaux.gob.ar/index.php?format=feed&type=rss;;;;https://www.youtube.com/channel/UCwck6_XbHFctmCzh77EGHIA;https://web.facebook.com/prensamunicipalgestionacerbo/?fref=ts&_rdc=1&_rdr;Esteban Alejandro ACERBO;;;FpV;;;;;
Dolores;28576;;;;;http://dolores.gob.ar/;http://dolores.gob.ar/prensa/;http://dolores.gob.ar/feed/;;;;;;Camilo Etchevarren;;;Cambiemos;@CamiloEtcheva;;https://web.facebook.com/camiloetchevarren?_rdc=1&_rdr;;
Ensenada;61346;;;;;http://www.ensenada.gov.ar/;noticias en inicio;http://www.ensenada.gov.ar/feed/;@prensaensenada;https://www.instagram.com/prensaensenada/;https://rss.app/feeds/wWThkRoDaTGGLz3t.xml;https://www.youtube.com/user/ElMunicipalTV;https://web.facebook.com/prensamunicipalidadensenada?_rdc=1&_rdr;Mario Carlos Secco;;;FpV;;;;;
Escobar;251245;;;;;https://www.escobar.gob.ar/;https://www.escobar.gob.ar/noticias-columnas/;https://www.escobar.gob.ar/feed/;@Escobar_Muni;https://www.instagram.com/escobar.municipio/;https://rss.app/feeds/Jgz2XYr1nbxdDYqM.xml;https://www.youtube.com/channel/UCJU0axZkAqbWuDYamkLLepw;https://web.facebook.com/MunicipalidadDeEscobar/?_rdc=1&_rdr;Sandro Adrián Guzmán;;;;;;;;
Esteban Echeverría;364641;;;;;https://www.estebanecheverria.gob.ar/;https://www.estebanecheverria.gob.ar/prensa/;https://www.estebanecheverria.gob.ar/feed/;@MunicipioEE;https://www.instagram.com/municipioee/;https://rss.app/feeds/Moo8wrosS73gBbdP.xml;https://www.youtube.com/user/estebanecheverriaofi;https://web.facebook.com/MunicipioEE/?_rdc=1&_rdr;Fernando Gray;;;FpV;;;;;
Exaltación de la Cruz;35922;;;;;http://www.exaltaciondelacruz.gov.ar/;;;;;;;https://www.facebook.com/Muniexaltaciondelacruz/;Adrián Daniel Sánchez;;;FpV;;;;;
Ezeiza;213864;;;;;https://www.ezeiza.gob.ar/;noticias en inicio;;@ezeizamunicipio;https://www.instagram.com/EzeizaMunicipiooficial/;https://rss.app/feeds/2SaEU80jkbW8zwyQ.xml;;;Alejandro Santiago Granados;;;FpV;;;;;
Florencio Varela;508671;;;;;http://www.varela.gov.ar/;http://www.varela.gov.ar/prensa/;;@PrensaVarela;https://www.instagram.com/varelamunicipio/;https://rss.app/feeds/Sx0KLiETUBHToxPl.xml;https://www.youtube.com/user/PrensaVarela;;Andrés Watson;;;;;;;;http://www.varela.gov.ar/medios/
Florentino Ameghino;9578;;;;;https://www.ameghino.gob.ar/;;;;;;https://www.youtube.com/channel/UCTbu7nzMoT3D79Vnyc_MIgA;;Calixto Agustín TELLECHEA;;;Cambiemos;;;;;
General Alvarado;43744;;;;;http://mga.gov.ar/;http://mga.gov.ar/noticias/;;@MunGralAlvarado;;;;;Germán Di Cesare;;;UNA;;;;;
General Alvear;11456;;;;;http://www.munialvear.gov.ar/;"http://www.munialvear.gov.ar/index.php/prensa/prensa ; http://www.munialvear.gov.ar/index.php/prensa/noticias";http://www.munialvear.gov.ar/index.php?format=feed&type=rss;;https://www.instagram.com/muni_alvear/?hl=es-la;https://rss.app/feeds/PKSuvZp76N3fZ5BK.xml;;;Marcolini Walther;;;;;;;;
General Arenales;15059;;;;;http://www.generalarenales.gob.ar/;http://www.generalarenales.gob.ar/novedades;;;;;;https://www.facebook.com/gobiernomunicipalgralaarenales/;Erica Silvana Revilla;;;Cambiemos;;;;;
General Belgrano;19123;;;;;http://www.generalbelgrano.gob.ar/;;;@munibelgrano;;;https://www.youtube.com/channel/UCwIVPikHYhvaISTII76252g;https://web.facebook.com/General-Belgrano-Gobierno-Municipal-567958480025194/?_rdc=1&_rdr;Osvaldo Mario Dinápoli;;;Cambiemos;;;;;
General Guido;2887;;;;;https://www.generalguido.gob.ar/;https://www.generalguido.gob.ar/?q=novedades;;;;;;https://web.facebook.com/General-Guido-1601835136753268/?_rdc=1&_rdr;Anibal Eugenio Loubet;;;Cambiemos;;;;;
General La Madrid;21436;;;;;http://www.lamadrid.gob.ar/;;http://www.lamadrid.gob.ar/?feed=rss2;;;;;https://web.facebook.com/Prensa-La-Madrid-1688591591392470/;Martín Randazzo;;;Cambiemos;;;;;
General Las Heras;10665;;;;;https://gobiernodelasheras.com/;https://gobiernodelasheras.com/noticias/;https://gobiernodelasheras.com/feed/;@muniglh;https://www.instagram.com/gobiernodelasheras/;https://rss.app/feeds/1GayBSpEx5VhoAJc.xml;https://www.youtube.com/channel/UCmxtLVhdK5R0CnLozNnHTAQ;https://web.facebook.com/muniglh?_rdc=1&_rdr;Javier Osuna;;;UNA;;;;;
General Lavalle;17182;;;;;https://www.generallavalle.gob.ar/;https://www.generallavalle.gob.ar/?q=novedades;;@prensa_lavalle;;;https://www.youtube.com/channel/UCoiEFtpDs97PaUjDUtE1EVg;;José Rodríguez Ponte;;;Cambiemos;;;;;https://www.youtube.com/channel/UCoiEFtpDs97PaUjDUtE1EVg
General Madariaga;4389;;;;;https://www.madariaga.gob.ar/;https://www.madariaga.gob.ar/noticias;;@MuniMadariaga;;;https://www.youtube.com/channel/UCvllvPKAvZBUmmo8XaMC7zg;https://web.facebook.com/PrensaMadariaga?_rdc=1&_rdr;Cristian Popovich;;;;;;;;
General Paz;11719;;;;;http://municipalidaddegeneralpaz.gob.ar/   ,   https://municipalidadgeneralpaz.blogspot.com/;noticias en inicio;https://municipalidadgeneralpaz.blogspot.com/feeds/posts/default?alt=rss;@GeneralPazGobie;https://www.instagram.com/municipalidadgeneralpaz/;https://rss.app/feeds/f8UcGq7UgLuYKaTT.xml;https://www.youtube.com/channel/UC-luhAbLgDgZXFd2Jo_jzOQ?view_as=subscriber;https://web.facebook.com/municipalidadgeneralpaz?_rdc=1&_rdr;Juan Carlos Veramendi;;;FpV;;;;;
General Pinto;11494;;;;;http://www.pinto.gob.ar/;;;;https://www.instagram.com/generalpintogobiernopresente/;https://rss.app/feeds/eM2zFa3Zihopny4X.xml;https://www.youtube.com/channel/UCLlOGDZBZw-12Vawphy5nAQ;https://web.facebook.com/General-Pinto-Gobierno-Presente-190083995120048/?_rdc=1&_rdr;Alexis Guerrera;;;FpV;;;;;
General Pueyrredón;653406;;;;;https://www.mardelplata.gob.ar/;https://www.mardelplata.gob.ar/noticias;https://www.mardelplata.gob.ar/rss.xml;@MGPmardelplata;https://www.instagram.com/mgpmardelplata/;https://rss.app/feeds/VYDhdIOLcEdUz9Kz.xml;;https://www.facebook.com/MunicipalidadMardelPlataBatan/;Carlos Fernando Arroyo;;;Cambiemos;;;;;
General Rodríguez;107599;;;;;https://www.generalrodriguez.gob.ar/;https://www.generalrodriguez.gob.ar/noticias/;;@_GralRodriguez;https://www.instagram.com/gralrodriguezok/;https://rss.app/feeds/GjB6PBZmrL7Qt5QO.xml;https://www.youtube.com/channel/UCXF3w7XI9ZKE1Ke8AJsSq9w;https://web.facebook.com/MunicipiodeGeneralRodriguez?_rdc=1&_rdr;Dario Miguel Kubar;;;Cambiemos;;;;;
General San Martín;424567;;;;;http://www.sanmartin.gov.ar/;http://www.sanmartin.gov.ar/noticias/;;@sanmartingob;https://www.instagram.com/sanmartingob/;https://rss.app/feeds/Nfj108FudRigUrRI.xml;;https://web.facebook.com/sanmartingob?_rdc=1&_rdr;Gabriel Katopodis;;;FpV;;;;https://www.youtube.com/user/GabrielKatopodis;
General Viamonte;18709;;;;;https://www.generalviamonte.gob.ar/;https://www.generalviamonte.gob.ar/?q=novedades;;@generalviamonte;https://www.instagram.com/generalviamonte/;https://rss.app/feeds/YUTMoePvBIxdXH0H.xml;;https://web.facebook.com/MunicipalidadGeneralViamonte?_rdc=1&_rdr;Franco Ariel Flexas;;;Cambiemos;;;;;
General Villegas;33090;;;;;https://villegas.gov.ar/;;https://villegas.gov.ar/feed/;@generalvillegas;https://www.instagram.com/generalvillegas/;https://rss.app/feeds/5KSmhItR3nnTIqGl.xml;;https://web.facebook.com/generalvillegas/?_rdc=1&_rdr;Eduardo Campana;;;Cambiemos;;;;;
Guaminí;12522;;;;;http://www.guamini.gob.ar/;http://www.guamini.gob.ar/index.php/noticias.html;http://www.guamini.gob.ar/index.php?format=feed&type=rss;@GuaminiMuni;;;https://www.youtube.com/channel/UC7_97Xd4RXMdzKR-iEwIObA;https://es-la.facebook.com/municipalidad.guamini/;José Nobre Ferreira;;;;;;;;
Hipólito Yrigoyen;10205;;;;;https://www.hipolitoyrigoyen.gob.ar/;https://www.hipolitoyrigoyen.gob.ar/?q=novedades;;;https://www.instagram.com/municipalidadhy/;https://rss.app/feeds/0RKeuiyv7pq4oMok.xml;;https://web.facebook.com/GobiernoMunicipalHY/?_rdc=1&_rdr;Enrique Tkacik;;;;;;;;
Hurlingham;192554;;;;;http://www.hurlingham.gob.ar/;;http://www.hurlingham.gob.ar/feed/;@MuniHurlingham;https://www.instagram.com/munihurlinghamok/?hl=es;https://rss.app/feeds/AcjHeQ4XwBrEpW5a.xml;https://www.youtube.com/channel/UCtbCVjeNMRFgzQE-mku0qaw;https://es-la.facebook.com/Municipiodehurlingham/;Juan Horacio Zabaleta;;;FpV;;;;;
Ituzaingó;179801;;;;;http://www.miituzaingo.gov.ar/;http://www.miituzaingo.gov.ar/noticias-de-gesti%C3%B3n-de-gobierno;;@miituzaingo;;;https://www.youtube.com/channel/UCLI3-DLVX8YaJWh1qFvkiUg;https://web.facebook.com/prensa.ituzaingo?_rdc=1&_rdr;Alberto Descalzo;;;FpV;;;;;
José C. Paz;303896;;;;;http://josecpaz.gob.ar/;http://josecpaz.gob.ar/prensa/;http://josecpaz.gob.ar/feed/;@MuniJoseCPaz;https://www.instagram.com/munijcpaz/;https://rss.app/feeds/PLTVINTVUjKEdgW3.xml;https://www.youtube.com/channel/UCXLuS4tfTi2rj8auweopjmQ;https://www.facebook.com/MunicipalidadJCP;Mario Alberto Ishii ;;;FpV;;;;;
